alcohol_free
silicon_free
contains_fragrance
sulfate_free
paraben_free
oil_free
malassezia_safe
reef_safe
eu_allergen_free
vegan
cruelty_free
contains_silicon
contains_sulfate
not_malassezia_safe
not_cruelty_free
fragrance_free
non_vegan
contains_parabens
contains_oils
contains_alcohol
contains_eu_allergens
not_reef_safe
